user_key,user_id,gender,age_group,country,city,registration_date,email_domain,is_premium
135,USR000135,O,18-24 ,Brazil,,23-07-2019,gmail.com,Yes
136,USR000136,, 25-34,France,N/A,08-12-2021,,yes
137,USR000137,M,35-44,India,,19-11-2022,yahoo.com,yes
138,USR000138,Female, 25-34,France,,22-03-2021,yahoo.com,1
139,USR000139,Female,18-24,Canada,N/A,11-10-2019,,0
140,USR000140,Other, 25-34,Germany,,02-08-2019,yahoo.com,1
141,USR000141,MALE,18-24,Japan,,07-01-2019,outlook.com,1
142,USR000142,O,35-44,Brazil,,27-02-2022,yahoo.com,NO
143,USR000143,female,25 to 34,Germany,  ,04-11-2021,yahoo.com,Yes
144,USR000144,MALE,18-24,Canada,  ,14-09-2022,yahoo.com,yes
145,USR000145,other,18_24,France,,04-07-2022,hotmail.com,1
146,USR000146,other,55+,France,City_15,30-11-2023,hotmail.com,1
147,USR000147,Female, 25-34,UK,,19-06-2023,outlook.com,Yes
148,USR000148,, 25-34,Australia,N/A,05-09-2022,gmail.com,1
149,USR000149,FEMALE,18_24,India,City_15,26-08-2023,outlook.com,
150,USR000150,Female,55+,Germany,City_18,27-04-2021,outlook.com,0
151,USR000151,Male,18-24 ,Germany,N/A,16-09-2023,gmail.com,
152,USR000152,male,18-24 ,Japan,,21-01-2020,,0
153,USR000153,other,18-24,Mexico,City_45,06-04-2021,gmail.com,0
154,USR000154,F,55+,USA,,31-07-2021,gmail.com,1
155,USR000155,Female,18_24,India,N/A,16-12-2021,hotmail.com,Yes
156,USR000156,Male,25 to 34,USA,,05-11-2022,gmail.com,yes
157,USR000157,Male,35-44,Japan,,23-12-2019,yahoo.com,0
158,USR000158,female, 25-34,Canada,City_9,01-11-2021,gmail.com,0
159,USR000159,M,,India,City_20,21-08-2022,yahoo.com,Yes
160,USR000160,other,45-54,Mexico,N/A,24-08-2022,outlook.com,
161,USR000161,Female,18_24,India,,20-05-2019,outlook.com,1
162,USR000162,M,25 to 34,France,  ,06-12-2023,,1
163,USR000163,O,25 to 34,Japan,,17-05-2021,gmail.com,1
164,USR000164,FEMALE,,Mexico,,20-01-2022,,1
165,USR000165,,18-24 ,Mexico,N/A,21-03-2022,hotmail.com,0
166,USR000166,O, 25-34,USA,,04-03-2021,,0
167,USR000167,F,45-54,Brazil,City_31,24-01-2019,outlook.com,1
168,USR000168,,55+,Brazil,,29-01-2019,hotmail.com,0
169,USR000169,Male,25-34,Mexico,  ,13-02-2021,gmail.com,0
170,USR000170,male,18-24,UK,City_49,07-05-2023,outlook.com,1
171,USR000171,male,18_24,India,City_14,28-03-2021,gmail.com,1
172,USR000172,O,18-24 ,Canada,,15-10-2023,gmail.com,0
173,USR000173,M, 25-34,Brazil,City_33,12-06-2023,gmail.com,Yes
174,USR000174,,35-44,Mexico,  ,29-10-2021,yahoo.com,yes
175,USR000175,Male,18_24,UK,,26-10-2022,hotmail.com,0
176,USR000176,female,18_24,Australia,City_10,08-12-2021,gmail.com,
177,USR000177,Other,55+,Mexico,City_27,10-05-2019,hotmail.com,0
178,USR000178,,45-54,Mexico,City_43,28-11-2023,gmail.com,0
179,USR000179,M,25-34,Mexico,,23-11-2019,gmail.com,Yes
180,USR000180,F,18_24,Australia,,23-09-2021,outlook.com,0
181,USR000181,M,18_24,Mexico,  ,19-04-2022,outlook.com,1
182,USR000182,Male,55+,Mexico,,07-04-2019,gmail.com,0
183,USR000183,Female,18_24,Australia,N/A,30-09-2020,outlook.com,yes
184,USR000184,female,18-24 ,Brazil,City_6,28-01-2023,yahoo.com,NO
185,USR000185,Male,35-44,France,City_1,08-11-2023,hotmail.com,0
186,USR000186,female,18-24,Mexico,City_42,01-12-2019,,yes
187,USR000187,MALE,18-24,Mexico,  ,26-01-2021,yahoo.com,1
188,USR000188,other,18_24,Canada,City_28,18-12-2019,yahoo.com,0
189,USR000189,MALE,25 to 34,USA,,19-01-2022,gmail.com,1
190,USR000190,other,55+,France,  ,08-10-2022,,1
191,USR000191,male,45-54,Brazil,  ,29-06-2020,,yes
192,USR000192,female,55+,UK,N/A,11-02-2021,hotmail.com,1
193,USR000193,, 25-34,France,  ,22-10-2020,gmail.com,0
194,USR000194,F,18_24,Japan,  ,28-10-2021,yahoo.com,0
195,USR000195,Other,25-34,Mexico,N/A,17-02-2019,gmail.com,0
196,USR000196,O,18-24,Australia,,14-05-2021,outlook.com,0
197,USR000197,M,18-24 ,Mexico,City_15,23-01-2022,gmail.com,0
198,USR000198,MALE,55+,Germany,  ,09-05-2023,hotmail.com,1
199,USR000199,M,18_24,UK,,03-06-2019,gmail.com,Yes
200,USR000200,M,18-24 ,Japan,,19-10-2022,gmail.com,Yes
201,USR000201,F,25-34,Mexico,N/A,09-07-2021,hotmail.com,0
202,USR000202,Male,18-24,USA,N/A,07-05-2022,,
203,USR000203,M,25-34,Brazil,City_30,02-10-2019,gmail.com,1
204,USR000204,O,,India,  ,18-11-2019,gmail.com,yes
205,USR000205,female,55+,France,  ,16-07-2022,gmail.com,1
206,USR000206,F,25 to 34,Brazil,  ,07-08-2020,gmail.com,0
207,USR000207,other,18-24,Mexico,N/A,26-07-2019,outlook.com,yes
208,USR000208,O,,Mexico,City_1,25-09-2022,hotmail.com,0
209,USR000209,MALE,18-24 ,Germany,  ,05-06-2022,gmail.com,1
210,USR000210,Female,45-54,UK,  ,02-06-2022,hotmail.com,1
211,USR000211,M,25 to 34,Germany,City_13,30-05-2023,gmail.com,Yes
212,USR000212,O,25 to 34,USA,N/A,23-07-2021,gmail.com,
213,USR000213,male,18_24,UK,N/A,23-05-2022,yahoo.com,1
214,USR000214,F,25 to 34,Germany,N/A,25-06-2021,,NO
215,USR000215,Male,45-54,Brazil,City_22,18-01-2019,gmail.com,1
216,USR000216,FEMALE,18-24 ,UK,,20-03-2020,hotmail.com,1
217,USR000217,MALE,55+,Australia,N/A,10-09-2019,gmail.com,
218,USR000218,MALE,55+,Australia,N/A,26-03-2019,gmail.com,0
219,USR000219,FEMALE,25 to 34,Mexico,,15-02-2022,gmail.com,0
220,USR000220,female,35-44,France,,08-05-2019,gmail.com,
221,USR000221,Female, 25-34,India,City_36,23-12-2021,outlook.com,yes
222,USR000222,MALE,18_24,Australia,  ,10-03-2020,outlook.com,yes
223,USR000223,MALE,45-54,Mexico,City_31,25-06-2020,outlook.com,Yes
224,USR000224,Male,25-34,India,City_27,18-02-2022,gmail.com,0
225,USR000225,other,18-24 ,France,City_47,24-01-2023,,0
226,USR000226,MALE,18_24,Canada,,09-01-2019,gmail.com,yes
227,USR000227,F,25 to 34,UK,City_16,19-06-2022,gmail.com,NO
228,USR000228,female,45-54,Australia,City_44,23-01-2022,gmail.com,0
229,USR000229,Female,18-24 ,USA,N/A,08-10-2023,gmail.com,1
230,USR000230,male,,Canada,N/A,09-12-2020,outlook.com,1
231,USR000231,Female,25-34,Australia,N/A,25-01-2023,yahoo.com,yes
232,USR000232,female,35-44,India,N/A,13-06-2020,hotmail.com,0
233,USR000233,other, 25-34,Canada,N/A,11-06-2020,hotmail.com,1
234,USR000234,, 25-34,UK,  ,22-12-2021,gmail.com,1
235,USR000235,F,25-34,Germany,,22-07-2021,gmail.com,NO
236,USR000236,other,25-34,Brazil,,02-02-2022,yahoo.com,1
237,USR000237,,18-24,France,N/A,20-03-2022,,Yes
238,USR000238,female, 25-34,Germany,  ,02-04-2019,gmail.com,Yes
239,USR000239,Male,35-44,France,,07-08-2023,hotmail.com,0
240,USR000240,male,,Mexico,,23-06-2023,hotmail.com,NO
241,USR000241,Female,45-54,Germany,  ,10-07-2020,gmail.com,0
242,USR000242,M,,Japan,  ,29-12-2021,outlook.com,yes
243,USR000243,Other,25-34,Mexico,,20-05-2020,gmail.com,0
244,USR000244,Female,18-24 ,Japan,City_32,30-01-2020,yahoo.com,0
245,USR000245,Male,18_24,Germany,  ,06-06-2020,outlook.com,1
246,USR000246,male, 25-34,France,  ,02-05-2021,hotmail.com,yes
247,USR000247,Other,25 to 34,UK,City_13,19-06-2023,gmail.com,1
248,USR000248,F,18_24,France,City_3,13-10-2020,gmail.com,0
249,USR000249,female,18_24,India,,09-01-2022,gmail.com,1
250,USR000250,O, 25-34,Brazil,  ,11-02-2021,yahoo.com,
251,USR000251,female,55+,India,,18-11-2022,yahoo.com,0
252,USR000252,F,25 to 34,Japan,,26-07-2021,hotmail.com,1
253,USR000253,Other,,Australia,City_16,16-02-2023,gmail.com,Yes
254,USR000254,, 25-34,USA,,23-07-2022,yahoo.com,Yes
255,USR000255,male,,UK,N/A,05-10-2019,gmail.com,1
256,USR000256,F,,Mexico,N/A,03-03-2021,outlook.com,
257,USR000257,Other, 25-34,Mexico,,03-05-2019,hotmail.com,0
258,USR000258,MALE,35-44,Australia,N/A,10-01-2020,gmail.com,NO
259,USR000259,Female,35-44,Japan,  ,24-07-2019,outlook.com,0
260,USR000260,Male,18_24,India,N/A,19-03-2020,gmail.com,1
261,USR000261,O,35-44,France,,24-05-2019,outlook.com,0
262,USR000262,F,,UK,N/A,04-10-2022,gmail.com,1
263,USR000263,Male,,Australia,  ,29-10-2021,hotmail.com,0
264,USR000264,,35-44,Mexico,City_37,09-11-2022,gmail.com,1
265,USR000265,,18_24,Japan,,02-03-2019,outlook.com,1
266,USR000266,other,18_24,France,,14-05-2021,,
267,USR000267,O,25-34,UK,City_3,11-12-2022,gmail.com,0
268,USR000268,O,45-54,Australia,  ,15-05-2021,outlook.com,0
269,USR000269,O,,Brazil,City_43,12-03-2023,gmail.com,0
270,USR000270,other,,USA,  ,29-01-2023,gmail.com,1
271,USR000271,MALE,18-24,France,N/A,29-04-2021,gmail.com,0
272,USR000272,female,35-44,Australia,  ,01-09-2020,,
273,USR000273,F,18_24,Mexico,N/A,25-04-2019,,0
274,USR000274,male,18-24 ,Australia,,17-10-2020,gmail.com,0
275,USR000275,other,25-34,Japan,City_24,03-08-2022,hotmail.com,0
276,USR000276,female,25 to 34,Australia,N/A,25-05-2022,outlook.com,1
277,USR000277,Other, 25-34,USA,  ,29-03-2022,gmail.com,0
278,USR000278,female,25-34,Germany,  ,02-09-2021,hotmail.com,0
279,USR000279,other,25-34,India,,25-07-2022,gmail.com,NO
280,USR000280,male,18-24 ,France,  ,01-11-2022,yahoo.com,0
281,USR000281,O,25 to 34,Canada,N/A,13-09-2020,yahoo.com,yes
282,USR000282,Female,55+,Australia,N/A,31-03-2020,gmail.com,1
283,USR000283,,18-24,USA,N/A,04-08-2022,yahoo.com,0
284,USR000284,Female,18_24,UK,  ,19-02-2019,gmail.com,NO
285,USR000285,other,35-44,Germany,N/A,23-12-2021,hotmail.com,0
286,USR000286,F,25-34,France,  ,18-10-2021,hotmail.com,0
287,USR000287,female,18-24 ,Japan,N/A,24-01-2023,,NO
288,USR000288,F,55+,Mexico,,12-02-2022,gmail.com,0
289,USR000289,O,18-24 ,Japan,  ,18-01-2019,gmail.com,0
290,USR000290,Female,55+,USA,  ,21-09-2023,gmail.com,0
291,USR000291,,55+,Brazil,City_8,10-12-2022,gmail.com,0
292,USR000292,M,,Germany,N/A,09-03-2020,gmail.com,Yes
293,USR000293,MALE,18-24,Brazil,,30-06-2021,hotmail.com,1
294,USR000294,F,35-44,Australia,City_21,09-12-2021,,0
295,USR000295,other,35-44,France,,21-12-2019,outlook.com,0
296,USR000296,F,25 to 34,UK,N/A,08-08-2022,gmail.com,0
297,USR000297,other, 25-34,Germany,N/A,09-05-2023,yahoo.com,NO
298,USR000298,O,18-24,Mexico,  ,15-11-2020,outlook.com,0
299,USR000299,M,55+,Brazil,,16-12-2022,,0
300,USR000300,Other,55+,France,City_44,19-09-2023,gmail.com,1
301,USR000301,Other,45-54,Brazil,,08-05-2020,yahoo.com,
302,USR000302,Female,35-44,India,N/A,17-06-2021,gmail.com,Yes
303,USR000303,F,,India,N/A,07-08-2019,hotmail.com,Yes
304,USR000304,,18-24,UK,,17-09-2019,yahoo.com,0
305,USR000305,Male,25-34,Canada,  ,06-05-2021,gmail.com,Yes
306,USR000306,Female,18_24,Germany,City_45,14-02-2023,,Yes
307,USR000307,Female,18-24 ,India,N/A,01-12-2023,gmail.com,Yes
308,USR000308,MALE,25-34,India,,26-11-2023,hotmail.com,yes
309,USR000309,F,18-24,France,  ,13-12-2021,,0
310,USR000310,Other, 25-34,Australia,City_9,16-12-2021,outlook.com,yes
311,USR000311,Other,,Mexico,City_9,13-10-2021,yahoo.com,1
312,USR000312,other,25 to 34,Australia,N/A,17-02-2019,gmail.com,
313,USR000313,female,55+,Australia,  ,11-08-2020,yahoo.com,0
314,USR000314,FEMALE,25 to 34,USA,,14-06-2019,yahoo.com,0
315,USR000315,FEMALE,,India,,14-11-2020,gmail.com,1
316,USR000316,FEMALE,18-24 ,USA,N/A,30-05-2023,,1
317,USR000317,other, 25-34,Australia,City_30,17-10-2020,yahoo.com,0
318,USR000318,MALE,,France,  ,23-09-2021,outlook.com,NO
319,USR000319,,25 to 34,Germany,N/A,11-01-2022,yahoo.com,0
320,USR000320,FEMALE,35-44,USA,  ,27-07-2022,,0
321,USR000321,O,35-44,USA,  ,21-07-2019,outlook.com,0
322,USR000322,M,18_24,Germany,City_45,26-04-2020,gmail.com,Yes
323,USR000323,other,,Mexico,City_30,17-07-2022,,1
324,USR000324,male,,Japan,,12-02-2023,hotmail.com,NO
325,USR000325,Female,,India,,19-06-2021,outlook.com,yes
326,USR000326,,35-44,India,  ,15-02-2020,gmail.com,0
327,USR000327,other,18-24 ,USA,,03-01-2023,gmail.com,0
328,USR000328,other,25-34,Australia,,09-06-2019,hotmail.com,NO
329,USR000329,Other,25 to 34,France,N/A,04-08-2020,hotmail.com,
330,USR000330,female,25 to 34,India,,04-08-2023,gmail.com,1
331,USR000331,male, 25-34,Mexico,City_45,09-12-2019,hotmail.com,0
332,USR000332,MALE, 25-34,Brazil,  ,02-09-2019,hotmail.com,Yes
333,USR000333,other,45-54,USA,City_21,18-09-2023,outlook.com,
334,USR000334,Female, 25-34,Brazil,N/A,05-09-2021,gmail.com,1
335,USR000335,MALE,18-24 ,Mexico,N/A,01-10-2022,hotmail.com,Yes
336,USR000336,MALE,18_24,USA,N/A,23-11-2020,yahoo.com,Yes
337,USR000337,M,18-24,Japan,N/A,05-03-2021,yahoo.com,0
338,USR000338,Male,,India,N/A,09-10-2019,gmail.com,NO
339,USR000339,Male,55+,Canada,,07-07-2020,outlook.com,1
340,USR000340,MALE,25-34,Australia,,11-09-2021,gmail.com,0
341,USR000341,FEMALE,35-44,UK,N/A,01-05-2022,outlook.com,1
342,USR000342,Other,18-24,France,City_13,18-05-2022,gmail.com,
343,USR000343,male,25 to 34,Germany,City_8,18-07-2020,,1
344,USR000344,FEMALE,55+,Mexico,,19-01-2023,gmail.com,1
345,USR000345,F,18_24,Canada,City_2,31-05-2020,,0
346,USR000346,other,25-34,Australia,  ,19-05-2020,gmail.com,
347,USR000347,Other,18_24,UK,  ,07-02-2020,yahoo.com,
348,USR000348,MALE,25-34,India,N/A,07-09-2023,hotmail.com,NO
349,USR000349,O,45-54,Japan,,16-08-2019,hotmail.com,NO
350,USR000350,O,25 to 34,Germany,,14-10-2021,gmail.com,0
351,USR000351,F,18_24,Brazil,N/A,20-01-2022,hotmail.com,0
352,USR000352,FEMALE,25 to 34,Brazil,N/A,22-11-2019,,Yes
353,USR000353,F,18-24,India,,09-07-2021,,0
354,USR000354,MALE,25 to 34,Canada,N/A,07-04-2020,yahoo.com,1
355,USR000355,M,18_24,Canada,City_32,19-01-2023,yahoo.com,1
356,USR000356,other,45-54,Canada,,12-07-2023,gmail.com,1
357,USR000357,O,,Mexico,City_25,21-03-2019,outlook.com,Yes
358,USR000358,Male,18_24,Brazil,  ,21-12-2020,gmail.com,0
359,USR000359,male,18-24,Australia,  ,22-08-2022,,0
360,USR000360,F,25-34,UK,,05-11-2023,yahoo.com,0
361,USR000361,MALE,18_24,India,  ,16-06-2022,gmail.com,1
362,USR000362,M,35-44,Canada,  ,05-09-2021,gmail.com,0
363,USR000363,O,18-24,UK,City_37,16-04-2021,gmail.com,0
364,USR000364,,55+,Australia,,09-06-2021,yahoo.com,
365,USR000365,FEMALE,45-54,Australia,  ,04-10-2019,hotmail.com,Yes
366,USR000366,Male,45-54,UK,  ,07-03-2019,,1
367,USR000367,,25 to 34,Mexico,City_49,17-12-2021,yahoo.com,NO
368,USR000368,MALE,,UK,,24-09-2020,hotmail.com,yes
369,USR000369,male,25-34,Japan,City_24,17-08-2023,gmail.com,Yes
370,USR000370,FEMALE,18_24,India,City_42,29-01-2019,gmail.com,yes
371,USR000371,M,25 to 34,France,City_5,21-06-2021,gmail.com,yes
372,USR000372,FEMALE,18-24 ,USA,  ,02-12-2021,outlook.com,1
373,USR000373,other, 25-34,Canada,City_26,15-07-2020,gmail.com,0
374,USR000374,,25 to 34,Canada,  ,04-01-2023,gmail.com,yes
375,USR000375,,18-24,Australia,City_34,01-04-2021,,0
376,USR000376,Other,,India,City_35,02-06-2020,yahoo.com,0
377,USR000377,female,18-24,UK,City_14,28-01-2019,gmail.com,1
378,USR000378,FEMALE,18-24 ,Mexico,  ,14-04-2023,hotmail.com,yes
379,USR000379,Other, 25-34,Mexico,City_41,24-08-2019,hotmail.com,1
380,USR000380,O,35-44,USA,  ,11-11-2020,,0
381,USR000381,, 25-34,Brazil,  ,24-06-2021,hotmail.com,0
382,USR000382,F,18-24,India,City_16,08-07-2021,hotmail.com,1
383,USR000383,,18_24,Australia,N/A,25-08-2020,gmail.com,1
384,USR000384,FEMALE,18-24 ,France,  ,12-04-2021,,0
385,USR000385,M, 25-34,France,,01-03-2021,gmail.com,
386,USR000386,O,55+,Brazil,,12-10-2019,,yes
387,USR000387,FEMALE,25-34,USA,City_34,28-08-2019,gmail.com,1
388,USR000388,FEMALE,25-34,Germany,,13-05-2022,hotmail.com,NO
389,USR000389,Female,25-34,Germany,  ,12-06-2022,,0
390,USR000390,MALE,18_24,Germany,  ,30-11-2022,outlook.com,Yes
391,USR000391,other,35-44,Canada,City_23,21-09-2021,hotmail.com,yes
392,USR000392,Female,55+,Germany,City_13,12-11-2021,outlook.com,Yes
393,USR000393,,35-44,USA,City_40,18-09-2022,yahoo.com,0
394,USR000394,FEMALE,35-44,UK,N/A,10-10-2020,gmail.com,NO
